Student Number,Student Name,International/ Domestic,Date of Birth,Enrolled Program,Current Enrolment ,Study Plan,Academic Histroy,Failed Courses,Current Credit,Remaining credits,Full Credits
s384950,Reginald Sweeney,International,26-12-2002,BP094,"Y1,S1,COSC2801,MATH2411,COSC2803","Y1,S2,COSC2802,MATH2412,COSC2804 ! Y2,S1,COSC2123,COSC1076,ISYS1118,COSC1235 ! Y2,S2,COSC1107,COSC1114,COSC2299,COSC2673 ! Y3,S1,COSC2626,COSC1147,COSC2674,INTE1113 ! Y3,S2,COSC1127,COSC2408,ISYS1087,ISYS1102 !",NULL,NULL,0,288,288
s385274,Kayley Nairn,International,10-09-2002,BP096,"Y2,S1,COSC2123,COSC1076,ISYS1118,COSC1147","Y2,S2,COSC1114,COSC2299,COSC1107,COSC1235 ! Y3,S1,INTE2376,INTE2374 ! Y3,S2,INTE2377,INTE2375 ! Y4,S1,ISYS1084,COSC2626,COSC2674,COSC2471 ! Y4,S2,COSC2410,COSC1183,ISYS2405","Y1,S1,COSC2801,89,HD ! Y1,S1,MATH2411,70,DI ! Y1,S1,COSC2803,63,CR ! Y1,S2,COSC2802,52,PA ! Y1,S2,MATH2412, 32, NN ! Y1,S2,COSC2804,55,PA ! ","Y1,S2,MATH2412, 32, NN",84,300,384
s385598,Nur Clements,Domestic,01-08-2004,BP096,"Y3,S2,INTE2377,INTE2375","Y4,S1,ISYS1084, COSC1127,COSC1179,ISYS1087 ! Y4,S2,COSC2410,COSC2673,COSC2738 !","Y1,S1,COSC2801,62,CR ! Y1,S1,MATH2411, 52,PA ! Y1,S1,COSC2803,74, DI ! Y1,S2,COSC2802,65,CR ! Y1,S2,MATH2412, 82,HD ! Y1,S2,COSC2804, 65, CR ! Y2,S1,COSC2123,60, CR ! Y2,S1,COSC1076,52, PA ! Y2,S1,ISYS1118,73, DI ! Y2,S1,COSC1147,63,CR ! Y2,S2,COSC1107,63,CR ! Y2,S2,COSC1114, 53,PA ! Y2,S2,COSC2299, 75, DI ! Y2,S2,COSC1093, 85, HD ! Y3,S1,INTE2376,73,DI ! Y3,S1,INTE2374,78,DI !",NULL,240,144,384
s385922,Nataniel Koch,Domestic,09-06-2004,BP096,"Y1,S2,COSC2802,MATH2412,COSC2804","Y2,S1,COSC2123,COSC1076,ISYS1118,COSC1147 ! Y2,S2,COSC1107,COSC1114,COSC2299,COSC1093 ! Y3,S1,INTE2376,INTE2374 ! Y3,S2,INTE2377,INTE2375 ! Y4,S1,ISYS1084,COSC1111,COSC2626,INTE2547 ! Y4,S2,COSC2410,COSC2673,COSC2814 !","Y1,S1,COSC2801,77,DI ! Y1,S1,MATH2411,58,PA ! Y1,S1,COSC2803,88,HD !",NULL,0,384,384
s386246,Camilla Feeney,Domestic,04-10-1997,BP094,"Y3,S1,COSC2626,COSC1147,INTE2402,INTE2584","Y3,S2,COSC1127,COSC2408,INTE2547,INTE1071 !","Y1,S1,COSC2801,85,HD ! Y1,S1,MATH2411,65,CR !  Y1,S1,COSC2803,75,DI ! Y1,S2,COSC2802,72,DI !  Y1,S2,MATH2412,62,CR ! Y1,S2,COSC2804,53,PA ! Y2,S1,COSC2123,57,PA ! Y2,S1,COSC1076,72,DI !  Y2,S1,ISYS1118,63, CR ! Y2,S1,COSC1235,74,DI ! Y2,S2,COSC1107,52,PA ! Y2,S2,COSC1114,74,DI ! Y2,S2,COSC2299,65,CR ! Y2,S2,COSC2673,62,CR ! ",NULL,192,96,288
s386570,Alisha Goddard,International,29-12-2002,BP094,"Y3,S2,COSC1127,COSC2408,COSC2378,MATH2237",NULL,"Y1,S1,COSC2801,85,HD ! Y1,S1,MATH2411,65,CR !  Y1,S1,COSC2803,75,DI ! Y1,S2,COSC2802,72,DI !  Y1,S2,MATH2412,62,CR ! Y1,S2,COSC2804,53,PA ! Y2,S1,COSC2123,57,PA ! Y2,S1,COSC1076,72,DI !  Y2,S1,ISYS1118,63, CR ! Y2,S1,COSC1235,74,DI ! Y2,S2,COSC1107,52,PA ! Y2,S2,COSC1114,74,DI ! Y2,S2,COSC2299,65,CR ! Y2,S2,COSC2673,62,CR ! Y3,S1,COSC2626,73,DI ! Y3,S1,COSC1147,52,PA !  Y3,S1,INTE2402,63,CR ! Y3,S1,INTE2584,52,PA !",NULL,240,48,288
s386894,Arun Weaver,International,13-09-2000,BP096,"Y1,S1,COSC2801,MATH2411,COSC2803","Y1,S2,COSC2802,MATH2412,COSC2804 ! Y2,S1,COSC2123,COSC1076,ISYS1118,COSC1147 ! Y2,S2,COSC1107,COSC1114,COSC2299,COSC1093 ! Y3,S1,INTE2376,INTE2374 ! Y3,S2,INTE2377,INTE2375 ! Y4,S1,ISYS1084,COSC1111,COSC2626,COSC2353 ! Y4,S2,COSC2410,COSC2972,INTE2511 !",NULL,NULL,0,384,384
s387218,Hugh Carr,Domestic,27-07-1999,BP096,"Y2,S2,COSC1107,COSC1114,COSC2299,COSC1226","Y3,S1,INTE2376,INTE2374 ! Y3,S2,INTE2377,INTE2375 ! Y4,S1,ISYS1084,INTE2547,COSC1127, ISYS1102 ! Y4,S2,COSC2410,COSC2626,COSC2673 !","Y1,S1,COSC2801,89,HD ! Y1,S1,MATH2411,70,DI ! Y1,S1,COSC2803,63,CR ! Y1,S2,COSC2802,52,PA ! Y1,S2,MATH2412, 32, NN ! Y1,S2,COSC2804,55,PA !","Y1,S2,MATH2412, 32, NN",84,300,384
s387542,Alys Gilmore,International,22-11-1998,BP094,"Y2,S1,COSC2123,COSC1076,ISYS1118,INTE2402","Y2,S2,COSC1107,COSC1114,COSC2299,INTE2547 ! Y3,S1,COSC2626,COSC1147,COSC2738,COSC2818 ! Y3,S2,COSC1127,COSC2408,COSC2815,MATH2237 !","Y2,S1,COSC2123, 75,DI ! Y2,S1,COSC1076, 60, CR ! Y2,S1,ISYS1118,55,PA ! Y2,S1,COSC1147,62,CR !","Y1,S2,MATH2412, 23, NN",84,204,288
s387866,Winnie Carver,Domestic,24-02-2002,BP094,"Y1,S2,COSC2802,MATH2412,COSC2804","Y2,S1,COSC2123,COSC1076,ISYS1118,COSC1235 ! Y2,S2,COSC1107,COSC1114,COSC2299,COSC1093 ! Y3,S1,COSC2626,COSC1147, COSC2471,INTE1113 ! Y3,S2,COSC1127,COSC2408,ISYS1087,COSC1235 !","Y1,S1,COSC2801,63,CR ! Y1,S1,MATH2411,72,DI ! Y1,S1,COSC2803,52,PA !",NULL,0,288,288
